sample_id,x,y,z,inclinacion,azimuth,mode,medida_daq
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12718
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13014
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13738
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13968
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13376
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12488
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12422
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13047
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13672
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12224
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12849
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1252
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12751
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14462
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14857
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1206
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.15251
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12751
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12553
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13277
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1331
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14067
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13705
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13869
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12191
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1308
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13705
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14264
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13837
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13935
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14166
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12422
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14264
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12027
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13639
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1104
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.15383
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13343
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13705
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14067
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13672
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13146
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13014
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12356
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12718
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12685
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12981
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13771
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13409
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13672
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1354
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14692
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13014
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12619
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13705
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12093
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.1331
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12718
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12553
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14067
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14231
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14297
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.14034
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13409
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12652
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12027
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.13277
20251029_115502_1,0.44,0.2,0.75,20,0,r_vertical,-4.12422
